ダウンロードした時刻：2026/05/14 18:55:27

,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取
年月日,平均気温(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),日照時間(時間),日照時間(時間),平均風速(m/s),最大風速(m/s),最大風速(m/s),平均蒸気圧(hPa),平均現地気圧(hPa),平均海面気圧(hPa),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時)
,,,,,,,,,,風向,,,,,
,,,,,現象なし情報,,現象なし情報,,,,,,,,
2025/1/1,6.4,12.1,3.6,0.0,0,7.6,0,3.3,7.9,西南西,6.5,1018.4,1020.4,晴一時雨,曇一時晴
2025/1/2,6.9,12.7,3.3,3.0,0,4.4,0,2.8,6.8,西南西,7.4,1018.6,1020.6,晴後雨時々曇,雨時々曇
2025/1/3,4.8,8.5,1.9,4.5,0,1.9,0,3.6,10.0,西,7.1,1018.3,1020.3,雨時々曇、雷を伴う,みぞれ一時雨後曇時々雪
2025/1/4,3.6,6.1,0.9,4.0,0,0.5,0,2.9,8.1,西北西,6.6,1021.9,1023.9,みぞれ時々曇一時晴後雨,曇一時雨後晴
2025/1/5,4.7,10.3,-0.3,0,1,6.2,0,3.2,5.7,南東,5.8,1021.7,1023.6,曇後晴,曇一時晴後一時雨
2025/1/6,7.0,8.7,4.1,3.5,0,0.1,0,2.7,5.4,南東,8.5,1011.8,1013.7,雨後時々曇,雨時々曇
2025/1/7,4.7,7.5,2.2,2.0,0,5.0,0,5.0,9.4,西南西,5.4,1010.0,1012.0,晴後曇時々雪一時みぞれ,雪時々曇
2025/1/8,3.5,6.4,1.0,3.0,0,1.5,0,4.5,10.0,西,5.2,1014.8,1016.8,曇時々雪後みぞれ、雷を伴う,みぞれ時々曇一時雪
2025/1/9,0.8,3.8,-2.6,6.5,0,2.7,0,4.9,10.6,西南西,5.0,1014.7,1016.7,雪時々曇、みぞれを伴う,雪
2025/1/10,0.3,2.6,-2.9,28.0,0,0.2,0,2.8,5.9,西,5.9,1020.7,1022.7,雪後みぞれ時々雨一時曇,みぞれ時々曇
2025/1/11,1.9,5.1,0.1,1.0,0,0.8,0,1.7,3.7,東,6.6,1023.5,1025.5,みぞれ後曇時々雨,曇一時雨
2025/1/12,3.1,8.4,0.0,0.0,0,6.4,0,2.6,6.0,南,5.7,1017.8,1019.8,曇後晴一時雨,晴時々曇
2025/1/13,3.9,10.2,-0.7,0.0,0,6.6,0,2.3,4.9,西北西,6.3,1020.5,1022.5,晴後時々雨一時曇,晴一時雨後曇
2025/1/14,5.8,10.9,0.8,0.0,0,2.4,0,3.2,6.5,西南西,6.3,1021.5,1023.5,曇時々晴一時雨、みぞれを伴う,雨時々曇、雷を伴う
2025/1/15,3.1,6.1,1.0,24.5,0,0.8,0,3.0,7.6,西北西,7.1,1019.2,1021.2,雨時々みぞれ,みぞれ時々曇
2025/1/16,3.6,7.7,0.4,2.0,0,4.0,0,2.6,6.1,西,6.0,1020.0,1022.0,曇時々晴一時みぞれ,雨時々曇
2025/1/17,2.6,4.0,1.6,12.0,0,0.0,0,1.8,4.5,東南東,7.1,1022.8,1024.8,雨、みぞれを伴う,雨後晴時々曇
2025/1/18,3.7,10.2,-0.2,0,1,6.9,0,2.3,4.0,東南東,6.2,1022.9,1024.9,晴時々曇,曇時々晴
2025/1/19,6.5,15.0,0.1,0,1,7.8,0,3.1,5.2,東南東,6.7,1016.2,1018.1,晴後一時曇,曇後時々晴
2025/1/20,6.2,12.6,2.1,0.0,0,2.3,0,2.4,5.4,北西,7.9,1012.9,1014.9,曇時々晴後雨、雷を伴う,雨時々曇一時晴
2025/1/21,6.2,10.1,4.0,3.0,0,0.2,0,1.8,4.4,東南東,8.3,1017.6,1019.6,雨後時々曇,雨後晴時々曇、雷を伴う
2025/1/22,5.5,12.0,1.6,1.0,0,3.6,0,2.2,4.1,東南東,7.7,1021.3,1023.2,曇時々晴一時雨,晴後一時曇
2025/1/23,7.5,14.2,1.7,0,1,5.9,0,2.8,5.4,北西,7.9,1021.2,1023.2,晴時々曇,曇時々晴一時雨
2025/1/24,7.0,12.6,3.9,0.0,0,2.9,0,2.7,8.8,北東,8.1,1022.5,1024.5,曇時々晴一時雨,雨時々曇
2025/1/25,6.0,9.5,3.4,1.0,0,3.8,0,3.4,7.3,北,6.7,1024.2,1026.2,雨時々曇一時晴,雨時々曇一時晴、みぞれを伴う
2025/1/26,5.0,10.5,1.5,6.0,0,4.0,0,3.2,7.5,北東,7.0,1021.2,1023.2,曇時々雨,雨時々晴後曇
2025/1/27,6.1,10.3,1.6,0.0,0,3.7,0,3.1,6.2,西,7.0,1011.9,1013.8,曇時々晴,晴一時雨後曇時々みぞれ
2025/1/28,5.0,7.6,1.5,0.0,0,4.0,0,4.0,8.3,南西,5.0,1011.7,1013.7,曇後晴一時雨、みぞれを伴う,晴後時々雪、みぞれを伴う
2025/1/29,4.3,7.8,2.5,0.0,0,5.2,0,5.0,10.3,西,4.7,1015.6,1017.6,晴一時雪後みぞれ時々曇,雪時々曇、みぞれを伴う
2025/1/30,3.7,5.8,2.6,0.0,0,0.6,0,5.4,9.7,西,4.7,1021.7,1023.7,雪時々曇後みぞれ,曇後みぞれ時々雨
2025/1/31,4.2,7.9,1.9,1.0,0,0.0,0,2.8,5.2,西北西,6.7,1024.2,1026.2,曇時々雨、みぞれを伴う,晴一時雨後曇
2025/2/1,5.3,10.7,0.7,4.0,0,3.0,0,2.4,4.9,南南西,7.0,1019.9,1021.9,曇時々晴後雨,雨後時々曇
2025/2/2,5.6,9.6,2.4,0.0,0,0.2,0,2.1,6.1,東北東,8.0,1013.3,1015.2,曇一時雨,曇一時晴後一時雨
2025/2/3,5.5,10.8,0.3,2.5,0,1.7,0,4.2,8.9,西南西,6.3,1008.8,1010.8,曇時々雨,雪時々曇一時晴、雷を伴う
2025/2/4,0.7,4.2,-2.0,12.5,0,6.6,0,4.1,9.3,西,4.8,1007.6,1009.6,雪後曇時々晴、雷を伴う,雪時々曇
2025/2/5,-1.0,1.9,-3.1,20.5,0,4.2,0,4.8,13.4,西南西,4.5,1009.5,1011.5,雪時々曇,雪後時々曇
2025/2/6,-0.2,3.6,-2.8,6.0,0,4.1,0,3.9,8.2,西南西,4.5,1015.1,1017.1,曇時々雪,雪時々曇
2025/2/7,-0.7,3.2,-3.3,17.0,0,1.0,0,4.5,12.4,西,5.1,1012.2,1014.2,雪一時曇後時々みぞれ,雪時々曇
2025/2/8,0.6,3.0,-2.7,16.0,0,1.2,0,4.7,10.0,西,5.1,1016.2,1018.2,雪時々曇、雷を伴う,雪時々曇、みぞれを伴う
2025/2/9,1.1,5.0,-0.4,6.0,0,3.1,0,2.3,5.3,北西,6.1,1020.4,1022.4,雪一時曇後みぞれ時々雨,晴時々曇一時雪
2025/2/10,2.0,6.6,-2.0,0.5,0,3.4,0,3.3,7.0,西,4.9,1020.7,1022.7,曇一時雪,曇時々雪、みぞれを伴う
2025/2/11,2.8,7.2,-0.3,0.0,0,3.3,0,2.6,5.7,北西,6.0,1025.8,1027.8,曇時々雨一時晴、みぞれを伴う,晴
2025/2/12,4.6,10.0,-1.6,0.5,0,0.0,0,4.7,10.5,南,6.9,1013.9,1015.9,曇時々雨、みぞれを伴う,雨時々曇
2025/2/13,4.7,7.7,0.2,3.5,0,0.2,0,5.2,10.8,北西,6.0,1015.7,1017.7,みぞれ時々雨後曇,みぞれ時々曇後晴
2025/2/14,4.4,11.1,-0.8,0,1,6.9,0,2.6,5.5,西,5.9,1019.0,1020.9,曇時々晴,晴一時曇
2025/2/15,6.0,15.2,-0.9,0.0,0,7.4,0,2.5,4.4,南,6.1,1016.8,1018.8,晴後一時曇,曇時々雨
2025/2/16,7.9,14.1,4.2,0.5,0,6.5,0,2.7,5.4,北西,8.4,1012.5,1014.5,晴一時雨後曇,晴一時曇後時々雨
2025/2/17,4.6,8.2,1.1,7.5,0,0.6,0,5.9,10.6,西北西,6.5,1013.5,1015.5,雨時々曇一時雪、みぞれを伴う,曇時々雪一時みぞれ
2025/2/18,1.6,3.4,0.2,14.5,0,0.2,0,4.1,8.5,北,5.6,1017.1,1019.1,雪一時曇後みぞれ時々雨,雪時々曇、みぞれを伴う
2025/2/19,2.1,3.4,0.1,4.0,0,0.1,0,4.8,9.0,西北西,5.2,1019.9,1021.9,雪時々みぞれ一時曇,雪時々曇一時晴
2025/2/20,1.7,5.4,-0.4,17.5,0,4.4,0,2.0,7.4,北北西,6.0,1023.2,1025.2,雪後曇時々みぞれ一時雨,みぞれ後雪時々曇一時晴
2025/2/21,0.8,2.6,-0.5,14.0,0,0.5,0,1.8,4.0,東南東,6.3,1023.3,1025.3,雪一時曇後みぞれ時々雨,みぞれ時々曇後雪
2025/2/22,0.3,1.4,-0.6,34.5,0,0.0,0,2.7,9.6,西南西,6.1,1024.5,1026.5,雪時々みぞれ、雷を伴う,みぞれ後時々雪
2025/2/23,1.5,6.0,-1.0,6.0,0,5.4,0,2.3,5.9,西北西,5.8,1023.3,1025.3,曇時々晴一時雪、みぞれを伴う,曇時々晴一時みぞれ後雪
2025/2/24,1.7,5.7,-1.3,12.0,0,2.5,0,3.4,9.4,西北西,5.7,1023.3,1025.3,雪後みぞれ時々曇一時雨,みぞれ後曇時々晴
2025/2/25,4.4,10.4,0.7,0.0,0,9.9,0,2.9,7.2,南南東,5.8,1024.2,1026.2,晴時々曇,曇時々晴
2025/2/26,5.4,10.4,1.4,0.0,0,4.4,0,3.3,6.7,西,6.2,1020.2,1022.2,曇時々晴一時雨、みぞれを伴う,晴時々曇
2025/2/27,5.8,12.5,0.3,0,1,8.3,0,2.7,5.4,西北西,6.2,1021.4,1023.4,晴時々曇,曇後一時晴
2025/2/28,7.1,12.3,2.4,0.0,0,1.5,0,2.7,4.5,東南東,7.3,1018.9,1020.9,曇後一時雨一時晴,晴
2025/3/1,8.7,18.5,0.8,0.0,0,9.4,0,2.8,5.2,東南東,7.9,1018.4,1020.4,曇時々晴,曇時々雨一時晴
2025/3/2,9.2,12.0,6.5,9.0,0,0.0,0,2.0,4.5,東南東,11.4,1014.7,1016.6,雨時々曇,雨一時曇
2025/3/3,6.2,9.9,4.1,25.0,0,0.0,0,3.6,6.7,北北東,7.9,1018.2,1020.2,雨,曇時々雨
2025/3/4,4.3,5.7,2.3,20.5,0,0.0,0,1.6,5.2,北東,7.6,1017.5,1019.5,雨,雨時々曇
2025/3/5,7.0,9.9,5.1,11.5,0,0.0,0,2.9,6.8,北北西,9.4,1015.1,1017.1,雨,雨時々曇
2025/3/6,6.1,8.0,3.7,6.0,0,0.5,0,5.3,9.2,北,7.5,1019.1,1021.1,雨時々曇,雨後曇時々みぞれ
2025/3/7,5.8,9.4,2.6,0.0,0,5.8,0,5.0,9.6,北,5.0,1025.6,1027.6,曇時々雨一時晴、みぞれを伴う,曇、みぞれを伴う
2025/3/8,4.3,9.4,0.4,0.0,0,1.2,0,2.0,4.5,北北西,5.7,1025.1,1027.1,曇,晴
2025/3/9,5.0,12.0,-1.0,0,1,9.3,0,2.6,5.0,北西,6.5,1028.0,1030.0,晴時々曇,晴
2025/3/10,8.2,16.5,-0.3,0,1,9.1,0,2.6,5.6,南,6.3,1026.4,1028.4,晴後一時曇,曇後一時雨
2025/3/11,9.9,16.9,6.6,0.5,0,2.5,0,2.6,4.8,東南東,9.3,1019.9,1021.8,雨後曇時々晴,晴
2025/3/12,12.0,19.8,5.0,0.0,0,7.5,0,3.2,6.6,南,10.8,1014.1,1016.0,曇時々晴,曇一時雨後晴
2025/3/13,9.9,15.8,4.0,0,1,5.3,0,2.7,5.9,北北西,8.5,1018.7,1020.6,曇時々晴,晴時々曇
2025/3/14,7.7,14.8,1.4,0,1,9.9,0,2.8,5.8,北北東,6.6,1025.2,1027.2,晴一時曇,晴後時々曇
2025/3/15,4.5,7.7,2.8,7.0,0,0.0,0,2.0,5.9,北東,7.0,1022.9,1024.9,雨時々曇,雨
2025/3/16,5.8,7.8,3.8,26.0,0,0.0,0,1.9,5.5,北北西,8.9,1005.7,1007.7,雨,雨時々曇
2025/3/17,3.6,6.6,1.2,28.5,0,0.3,0,3.2,7.7,西北西,7.3,1009.7,1011.7,みぞれ後雨時々曇,雨後曇時々みぞれ一時晴
2025/3/18,4.7,11.5,0.6,0.5,0,6.3,0,3.4,8.3,南西,6.4,1011.7,1013.6,晴後曇一時雨,雨時々曇後晴、みぞれを伴う
2025/3/19,3.8,7.2,0.0,4.5,0,0.5,0,4.7,11.6,北北西,6.0,1017.9,1019.9,雨時々曇、みぞれを伴う,曇一時雨、みぞれを伴う
2025/3/20,6.3,12.7,1.8,0.0,0,4.7,0,3.1,6.4,南南東,6.3,1018.1,1020.0,曇時々晴,晴
2025/3/21,13.2,21.2,6.1,0,1,11.4,0,4.7,7.5,西,7.6,1011.3,1013.2,晴,晴
2025/3/22,16.2,23.6,8.9,0,1,11.5,0,4.2,7.5,西北西,7.7,1007.8,1009.7,晴,晴
2025/3/23,13.6,21.4,8.3,0,1,10.9,0,3.4,9.2,北西,9.4,1009.9,1011.8,晴,曇時々晴
2025/3/24,14.7,21.8,7.8,0.5,0,2.5,0,4.3,7.8,北西,9.6,1005.9,1007.8,曇後雨時々晴,晴
2025/3/25,19.6,25.1,12.8,0,1,8.2,0,4.2,8.3,南南東,10.4,1001.4,1003.2,晴時々曇,晴
2025/3/26,15.5,21.2,10.6,0,1,10.2,0,3.7,7.7,南南東,10.1,1007.0,1008.8,晴一時曇,晴後一時曇
2025/3/27,21.1,27.0,12.7,9.0,0,3.0,0,5.8,10.7,南南東,15.4,1001.1,1002.9,晴後曇一時雨,雨一時曇、雷を伴う
2025/3/28,10.1,18.5,6.6,25.0,0,0.0,0,3.4,7.1,北北西,12.1,1007.1,1009.1,雨,雨時々曇
2025/3/29,8.3,12.8,5.0,0.0,0,5.8,0,2.0,4.9,北北西,7.1,1016.8,1018.8,曇時々晴,曇後時々雨
2025/3/30,4.1,6.7,1.7,11.0,0,0.1,0,3.3,7.0,北西,6.9,1024.1,1026.1,雨時々曇、みぞれを伴う,曇一時雨後時々晴
2025/3/31,5.0,11.1,0.1,0,1,9.1,0,2.5,5.0,北北西,5.8,1025.8,1027.8,晴時々曇,晴時々曇
2025/4/1,7.0,14.7,0.0,0,1,5.8,0,2.2,5.7,北北西,7.5,1021.4,1023.4,曇時々晴,曇
2025/4/2,9.0,12.7,6.0,0.0,0,0.0,0,1.7,4.0,北,9.7,1015.5,1017.4,曇後時々雨,曇後晴時々雨
2025/4/3,8.7,12.9,6.0,8.5,0,1.3,0,3.5,7.0,北北西,9.7,1015.7,1017.7,雨時々曇,雨後曇時々晴
2025/4/4,8.8,13.9,4.3,0.5,0,8.9,0,2.6,5.6,北,8.3,1019.0,1020.9,曇後晴,晴
2025/4/5,11.4,18.5,1.9,0.0,0,6.2,0,3.9,7.2,南南東,6.7,1015.3,1017.3,曇時々晴,曇時々雨
